inflacja,pozyczka
,12000
1.592824484,11845.92824
-0.453509101,11671.0662
2.324671717,11522.85337
1.261254407,11363.77154
1.782526286,11209.06115
2.329384541,11058.84232
1.502229842,10900.33353
1.782526286,10743.77614
2.328848994,10591.4861
0.616921348,10423.40991
2.352295886,10269.90089
0.337779545,10098.46645
1.577035247,9936.983976
-0.292781443,9759.401966
2.48619659,9604.020297
0.267110318,9430.168126
1.417952672,9264.886489
1.054243267,9096.188242
1.480520104,8930.151288
1.577035247,8764.212635
-0.07742069,8585.557724
1.165733399,8415.362011
-0.404186718,8233.565935
1.499708521,8064.439807
